"locus_tag"	"symbol"	"gene_name"	"old_locus_tag"	"product"	"eggNOG_name"	"eggNOG_description"	"GO_component"	"GO_function"	"GO_process"	"eggNOG_GOs"	"KEGG_ko"	"KEGG_Pathway"	"KEGG_Module"	"KEGG_Reaction"	"KEGG_rclass"	"eggNOG_evalue"
"SPY_RS01700"	"hlyX"	"-"	"SPy_0378"	"hemolysin family protein"	"hlyX"	"COG1253 Hemolysins and related proteins containing CBS domains"	"-"	"-"	"-"	"-"	"ko:K03699"	"-"	"-"	"-"	"-"	"5.13e-303"
"SPY_RS01705"	"pflA"	"pflA"	"SPy_0379"	"pyruvate formate-lyase-activating protein"	"pflA"	"Activation of pyruvate formate-lyase under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine"	"-"	"GO:0043365 - [formate-C-acetyltransferase]-activating enzyme activity [Evidence IEA]"	"-"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"ko:K04069"	"-"	"-"	"R04710"	"-"	"1.0199999999999999e-196"
"SPY_RS01710"	"ppaC"	"-"	"SPy_0380"	"manganese-dependent inorganic pyrophosphatase"	"ppaC"	"inorganic pyrophosphatase"	"-"	"GO:0004427 - inorganic diphosphate phosphatase activity [Evidence IEA]"	"-"	"GO:0003674,GO:0003824,GO:0004427,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006793,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0044237,GO:0044424,GO:0044464"	"ko:K15986"	"ko00190,map00190"	"-"	"-"	"-"	"2.17e-214"
"SPY_RS01715"	"SPy_0382"	"-"	"SPy_0382"	"DUF1803 domain-containing protein"	"-"	"Domain of unknown function (DUF1803)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"2.36e-137"
"SPY_RS01720"	"fhuG"	"-"	"SPy_0383"	"iron ABC transporter permease"	"fhuG"	"Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily"	"-"	"-"	"-"	"-"	"ko:K02015"	"ko02010,map02010"	"M00240"	"-"	"-"	"1.3500000000000002e-213"
"SPY_RS01725"	"fhuB"	"-"	"SPy_0384"	"iron ABC transporter permease"	"fhuB"	"Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily"	"-"	"-"	"-"	"-"	"ko:K02015"	"ko02010,map02010"	"M00240"	"-"	"-"	"2.18e-245"
"SPY_RS01730"	"fhuD"	"-"	"SPy_0385"	"iron-hydroxamate ABC transporter substrate-binding protein"	"fhuD"	"ABC transporter, substratebinding protein"	"-"	"-"	"-"	"-"	"ko:K02016"	"ko02010,map02010"	"M00240"	"-"	"-"	"8.52e-216"
"SPY_RS01735"	"fhuC"	"-"	"SPy_0386"	"ABC transporter ATP-binding protein"	"fhuC"	"COG1120 ABC-type cobalamin Fe3 -siderophores transport systems, ATPase components"	"-"	"-"	"-"	"-"	"ko:K02013"	"ko02010,map02010"	"M00240"	"-"	"-"	"1.8300000000000002e-185"
"SPY_RS01740"	"murE"	"-"	"SPy_0388"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase"	"murE"	"to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan"	"-"	"-"	"-"	"-"	"ko:K01928,ko:K05362"	"ko00300,ko00550,ko01100,map00300,map00550,map01100"	"-"	"R02786,R02788"	"RC00064,RC00090"	"0.0"
"SPY_RS01745"	"ytgP"	"-"	"SPy_0390"	"polysaccharide biosynthesis protein"	"ytgP"	"Membrane protein involved in the export of O-antigen and teichoic acid"	"-"	"-"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"ko:K03328"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS01750"	"upp"	"upp"	"SPy_0392"	"uracil phosphoribosyltransferase"	"upp"	"Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate"	"-"	"GO:0004845 - uracil phosphoribosyltransferase activity [Evidence IEA]"	"GO:0009116 - nucleoside metabolic process [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004849,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006213,GO:0006220,GO:0006221,GO:0006222,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008655,GO:0009058,GO:0009112,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009124,GO:0009129,GO:0009130,GO:0009156,GO:0009161,GO:0009163,GO:0009165,GO:0009173,GO:0009174,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0018130,GO:0019205,GO:0019206,GO:0019438,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0042455,GO:0043094,GO:0043097,GO:0043174,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046049,GO:0046131,GO:0046132,GO:0046134,GO:0046390,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657,GO:1901659"	"ko:K00761"	"ko00240,ko01100,map00240,map01100"	"-"	"R00966"	"RC00063"	"4.52e-147"
"SPY_RS01755"	"clpP"	"-"	"SPy_0395"	"ATP-dependent Clp protease proteolytic subunit"	"clpP"	"Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0004176,GO:0005488,GO:0005515,GO:0006355,GO:0006508,GO:0006515,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0019538,GO:0030163,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0042623,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051603,GO:0060255,GO:0065007,GO:0070011,GO:0071704,GO:0080090,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141"	"ko:K01358"	"ko04112,ko04212,map04112,map04212"	"-"	"-"	"-"	"3.75e-135"
"SPY_RS01760"	"ylbG"	"-"	"SPy_0397"	"YlbG family protein"	"ylbG"	"Uncharacterized protein conserved in bacteria (DUF2129)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"7.499999999999999e-61"
"SPY_RS01765"	"tmk"	"tmk"	"SPy_0399"	"dTMP kinase"	"tmk"	"Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis"	"-"	"GO:0004798 - thymidylate kinase activity [Evidence IEA]"	"GO:0015949 - nucleobase-containing small molecule interconversion [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004798,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006227,GO:0006233,GO:0006235,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009165,GO:0009186,GO:0009189,GO:0009196,GO:0009197,GO:0009200,GO:0009202,GO:0009211,GO:0009212,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019692,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046072,GO:0046075,GO:0046077,GO:0046385,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"ko:K00943"	"ko00240,ko01100,map00240,map01100"	"M00053"	"R02094,R02098"	"RC00002"	"6.61e-141"
"SPY_RS01770"	"holB"	"-"	"SPy_0400"	"DNA polymerase III subunit delta'"	"holB"	"dna polymerase iii"	"-"	"GO:0003887 - DNA-directed DNA polymerase activity [Evidence IEA] | GO:0008408 - 3'-5' exonuclease activity [Evidence IEA]"	"GO:0006260 - DNA replication [Evidence IEA]"	"-"	"ko:K02341"	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	"M00260"	"R00375,R00376,R00377,R00378"	"RC02795"	"1.1700000000000002e-192"
"SPY_RS01775"	"yaaT"	"-"	"SPy_0401"	"PSP1 C-terminal domain-containing protein"	"yaaT"	"PSP1 C-terminal conserved region"	"-"	"-"	"-"	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"-"	"-"	"-"	"-"	"-"	"5.89e-12"
"SPY_RS01780"	"yabA"	"yabA"	"SPy_0405"	"DNA replication initiation control protein YabA"	"yabA"	"Involved in initiation control of chromosome replication"	"-"	"-"	"-"	"GO:0003674,GO:0005488,GO:0005515,GO:0042802"	"-"	"-"	"-"	"-"	"-"	"2.94e-71"
"SPY_RS01785"	"rsmI"	"rsmI"	"SPy_0406"	"16S rRNA (cytidine(1402)-2'-O)-methyltransferase"	"rsmI"	"Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA"	"-"	"GO:0008649 - rRNA methyltransferase activity [Evidence IEA] | GO:0008757 - S-adenosylmethionine-dependent methyltransferase activity [Evidence IEA]"	"GO:0000451 - rRNA 2'-O-methylation [Evidence IEA]"	"GO:0000154,GO:0000451,GO:0000453,GO:0001510,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360"	"ko:K07056"	"-"	"-"	"-"	"-"	"7.2e-201"
"SPY_RS01790"	"SPy_0407"	"-"	"SPy_0407"	"DUF5684 domain-containing protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.98e-86"
"SPY_RS01795"	"cutC"	"-"	"SPy_0408"	"copper homeostasis protein CutC"	"cutC"	"Participates in the control of copper homeostasis"	"-"	"-"	"-"	"-"	"ko:K06201"	"-"	"-"	"-"	"-"	"8.75e-145"
"SPY_RS01800"	"yusI"	"-"	"SPy_0410"	"arsenate reductase family protein"	"yusI"	"Belongs to the ArsC family"	"-"	"-"	"-"	"-"	"ko:K00537"	"-"	"-"	"-"	"-"	"2.3000000000000002e-80"
"SPY_RS01805"	"xth"	"-"	"SPy_0412"	"exodeoxyribonuclease III"	"xth"	"exodeoxyribonuclease III"	"-"	"-"	"-"	"GO:0003674,GO:0003824,GO:0003906,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008296,GO:0008309,GO:0008311,GO:0008408,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360"	"ko:K01142"	"ko03410,map03410"	"-"	"-"	"-"	"2.08e-203"
"SPY_RS01810"	"lctO"	"lctO"	"SPy_0414"	"L-lactate oxidase"	"lctO"	"L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases"	"-"	"-"	"-"	"-"	"ko:K00467,ko:K10530"	"ko00620,map00620"	"-"	"R00319"	"RC01312"	"2.1599999999999998e-285"
"SPY_RS01815"	"scpC"	"scpC"	"SPy_0416"	"CXC chemokine-degrading serine protease SpyCEP"	"vpr"	"Belongs to the peptidase S8 family"	"-"	"-"	"-"	"GO:0005575,GO:0005576"	"ko:K01361,ko:K08652,ko:K14647"	"ko02024,map02024"	"-"	"-"	"-"	"0.0"
"SPY_RS01820"	"SPy_0421"	"-"	"SPy_0421"	"YoaK family protein"	"XK27_09195"	"Protein of unknown function (DUF1275)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.63e-162"
"SPY_RS01825"	"metG"	"metG"	"SPy_0422"	"methionine--tRNA ligase"	"metG"	"Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation"	"-"	"GO:0000049 - tRNA binding [Evidence IEA] | GO:0004825 - methionine-tRNA ligase activity [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA]"	"GO:0006431 - methionyl-tRNA aminoacylation [Evidence IEA]"	"GO:0003674,GO:0003824,GO:0004812,GO:0004825,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006431,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576"	"ko:K01874"	"ko00450,ko00970,map00450,map00970"	"M00359,M00360"	"R03659,R04773"	"RC00055,RC00523"	"0.0"
"SPY_RS01830"	"nrdF"	"nrdF"	"SPy_0425"	"class 1b ribonucleoside-diphosphate reductase subunit beta"	"nrdF"	"Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides"	"GO:0005971 - ribonucleoside-diphosphate reductase complex [Evidence IEA]"	"GO:0004748 - ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [Evidence IEA] | GO:0030145 - manganese ion binding [Evidence IEA]"	"GO:0009265 - 2'-deoxyribonucleotide biosynthetic process [Evidence IEA]"	"-"	"ko:K00526"	"ko00230,ko00240,ko01100,map00230,map00240,map01100"	"M00053"	"R02017,R02018,R02019,R02024"	"RC00613"	"4.97e-249"
"SPY_RS01835"	"nrdI"	"nrdI"	"SPy_0426"	"class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI"	"nrdI"	"Probably involved in ribonucleotide reductase function"	"-"	"-"	"GO:0009263 - deoxyribonucleotide biosynthetic process [Evidence IEA]"	"GO:0000166,GO:0003674,GO:0005488,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010181,GO:0019538,GO:0032553,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564"	"ko:K03647"	"-"	"-"	"-"	"-"	"8.6e-113"
"SPY_RS01840"	"nrdE"	"nrdE"	"SPy_0427"	"class 1b ribonucleoside-diphosphate reductase subunit alpha"	"nrdE"	"Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides"	"-"	"GO:0004748 - ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [Evidence IEA] | GO:0005524 - ATP binding [Evidence IEA]"	"GO:0006260 - DNA replication [Evidence IEA]"	"-"	"ko:K00525"	"ko00230,ko00240,ko01100,map00230,map00240,map01100"	"M00053"	"R02017,R02018,R02019,R02024"	"RC00613"	"0.0"
"SPY_RS01845"	"SPy_0428"	"-"	"SPy_0428"	"ADP-ribosyltransferase"	"-"	"ADP-ribosyltransferase exoenzyme"	"GO:0005576 - extracellular region [Evidence IEA]"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.35e-86"
"SPY_RS01850"	"SPy_0430"	"-"	"SPy_0430"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS01855"	"SPy_0432"	"-"	"SPy_0432"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS01860"	"SPy_0433"	"-"	"SPy_0433"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"0.000229"
"SPY_RS01865"	"SPy_0435"	"-"	"SPy_0435"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS01870"	"spej"	"spej"	"SPy_0436"	"streptococcal pyrogenic exotoxin SpeJ"	"-"	"Staphylococcal/Streptococcal toxin, beta-grasp domain"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.04e-05"
"SPY_RS01875"	"SPy_0437"	"-"	"SPy_0437"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"6.76e-10"
"SPY_RS01880"	"SPy_0439"	"-"	"SPy_0439"	"DUF2829 domain-containing protein"	"XK27_01315"	"Protein of unknown function (DUF2829)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"4.98e-52"
"SPY_RS01885"	"fabG"	"-"	"SPy_0440"	"3-oxoacyl-ACP reductase"	"fabG"	"Oxidoreductase, short chain dehydrogenase reductase family protein"	"-"	"GO:0016491 - oxidoreductase activity [Evidence IEA]"	"-"	"-"	"ko:K00059"	"ko00061,ko00333,ko00780,ko01040,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01040,map01100,map01130,map01212"	"M00083,M00572"	"R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120,R11671"	"RC00029,RC00117"	"1.82e-162"
"SPY_RS01890"	"SPy_0441"	"-"	"SPy_0441"	"Gfo/Idh/MocA family oxidoreductase"	"-"	"oxidoreductase"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"3.23e-220"
"SPY_RS01895"	"SPy_0442"	"-"	"SPy_0442"	"MFS transporter"	"-"	"glycerol-3-phosphate transporter"	"-"	"-"	"-"	"-"	"ko:K02445"	"-"	"-"	"-"	"-"	"3.55e-315"
"SPY_RS01900"	"glmU"	"glmU"	"SPy_0443"	"bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU"	"glmU"	"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain"	"-"	"GO:0000287 - magnesium ion binding [Evidence IEA] | GO:0003977 - UDP-N-acetylglucosamine diphosphorylase activity [Evidence IEA] | GO:0019134 - glucosamine-1-phosphate N-acetyltransferase activity [Evidence IEA]"	"GO:0006048 - UDP-N-acetylglucosamine biosynthetic process [Evidence IEA] | GO:0009252 - peptidoglycan biosynthetic process [Evidence IEA]"	"GO:0000270,GO:0000271,GO:0003674,GO:0003824,GO:0003977,GO:0005975,GO:0005976,GO:0006022,GO:0006023,GO:0006024,GO:0006629,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009252,GO:0009273,GO:0009987,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0030203,GO:0033692,GO:0034637,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0070569,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903509"	"ko:K04042"	"ko00520,ko01100,ko01130,map00520,map01100,map01130"	"M00362"	"R00416,R05332"	"RC00002,RC00004,RC00166"	"2.0199999999999997e-292"
"SPY_RS01905"	"nudF"	"-"	"SPy_0444"	"NUDIX hydrolase"	"nudF"	"AdP-ribose pyrophosphatase"	"-"	"-"	"-"	"-"	"ko:K01515"	"ko00230,map00230"	"-"	"R01054"	"RC00002"	"1.0100000000000002e-124"
"SPY_RS01910"	"macP"	"macP"	"SPy_0446"	"cell wall synthase accessory phosphoprotein MacP"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.020000000000001e-31"
"SPY_RS01915"	"mtnN"	"-"	"SPy_0447"	"5'-methylthioadenosine/adenosylhomocysteine nucleosidase"	"mtnN"	"Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively"	"-"	"GO:0008782 - adenosylhomocysteine nucleosidase activity [Evidence IEA] | GO:0008930 - methylthioadenosine nucleosidase activity [Evidence IEA]"	"GO:0009116 - nucleoside metabolic process [Evidence IEA] | GO:0009164 - nucleoside catabolic process [Evidence IEA] | GO:0019509 - L-methionine salvage from methylthioadenosine [Evidence IEA]"	"-"	"ko:K01243"	"ko00270,ko01100,ko01230,map00270,map01100,map01230"	"M00034,M00609"	"R00194,R01401"	"RC00063,RC00318"	"4.09e-154"
"SPY_RS01920"	"SPy_0448"	"-"	"SPy_0448"	"hypothetical protein"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"
"SPY_RS01925"	"ideR"	"-"	"SPy_0450"	"metal-dependent transcriptional regulator"	"ideR"	"Transcriptional regulator"	"-"	"-"	"-"	"-"	"ko:K03709"	"-"	"-"	"-"	"-"	"9.850000000000001e-154"
"SPY_RS01930"	"psaA"	"-"	"SPy_0453"	"metal ABC transporter substrate-binding protein"	"psaA"	"Belongs to the bacterial solute-binding protein 9 family"	"-"	"-"	"-"	"-"	"ko:K11704,ko:K19971,ko:K19975,ko:K19976"	"ko02010,map02010"	"M00318,M00791,M00792"	"-"	"-"	"1.54e-218"
"SPY_RS01935"	"sitB"	"-"	"SPy_0454"	"metal ABC transporter ATP-binding protein"	"sitB"	"ABC transporter, ATP-binding protein"	"-"	"-"	"-"	"-"	"ko:K02074,ko:K09820,ko:K10830,ko:K11706,ko:K19973"	"ko02010,map02010"	"M00243,M00244,M00318,M00791,M00792"	"-"	"-"	"2.59e-171"
"SPY_RS01940"	"mtsC"	"-"	"SPy_0456"	"metal ABC transporter permease subunit"	"mtsC"	"ABC-type Mn2 Zn2 transport systems, permease components"	"-"	"-"	"-"	"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0010035,GO:0010038,GO:0010043,GO:0016020,GO:0042221,GO:0044464,GO:0050896,GO:0071944"	"ko:K11705,ko:K19972,ko:K19976"	"ko02010,map02010"	"M00318,M00791,M00792"	"-"	"-"	"7.18e-179"
"SPY_RS01945"	"SPy_0457"	"-"	"SPy_0457"	"peptidylprolyl isomerase"	"-"	"PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides"	"-"	"-"	"-"	"-"	"ko:K03767"	"ko01503,ko04217,map01503,map04217"	"-"	"-"	"-"	"1.38e-184"
"SPY_RS01950"	"ftsK"	"-"	"SPy_0458"	"DNA translocase FtsK"	"ftsK"	"Belongs to the FtsK SpoIIIE SftA family"	"-"	"-"	"-"	"GO:0000003,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0019954,GO:0030436,GO:0031323,GO:0031326,GO:0032502,GO:0043934,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141"	"ko:K03466"	"-"	"-"	"-"	"-"	"0.0"
"SPY_RS01955"	"SPy_0459"	"-"	"SPy_0459"	"DUF3397 domain-containing protein"	"-"	"Protein of unknown function (DUF3397)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"8.67e-62"
"SPY_RS01960"	"rplK"	"rplK"	"SPy_0460"	"50S ribosomal protein L11"	"rplK"	"Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors"	"GO:0000315 - organellar large ribosomal subunit [Evidence IEA] | GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]"	"GO:0003735 - structural constituent of ribosome [Evidence IEA]"	"GO:0006412 - translation [Evidence IEA]"	"GO:0000027,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042273,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"	"ko:K02867"	"ko03010,map03010"	"M00178,M00179"	"-"	"-"	"4.65e-91"
